|Mon Jan 19 17:48:54 +0000 2015|;|0|;|AT_USER faço não mas dependendo do sisu eu vou fazer edificações ai|
|Mon Jan 19 17:48:51 +0000 2015|;|2|;|rt AT_USER nota so sisu saiu acabo o amor acabo a amizade acabo tudo sisumedeixaentrar|
|Mon Jan 19 17:48:48 +0000 2015|;|0|;|antes de fazer a inscrição no sisu veja essas dicas que vão ajudar você - notícias - uol educação URL|
|Mon Jan 19 17:48:46 +0000 2015|;|1|;|você fez o enem e pretende fazer sua graduação no ifrn corra que as inscrições para o sisu começam hoje URL|
|Mon Jan 19 17:48:40 +0000 2015|;|0|;|já fiz minha inscrição no sisu 🙌🙌🙏🙏|
|Mon Jan 19 17:48:40 +0000 2015|;|0|;|perguntadodia qual é a sua estratégia para o sisu responda p AT_USER diga de onde vc é e participe URL|
|Mon Jan 19 17:48:31 +0000 2015|;|0|;|essa porra de sisu|
|Mon Jan 19 17:48:25 +0000 2015|;|0|;|esse negócio de instituição sisu enem tá me complicando $|
|Mon Jan 19 17:48:22 +0000 2015|;|0|;|me inscrevi no sisu pra ufpel|
|Mon Jan 19 17:48:16 +0000 2015|;|0|;|unb (AT_USER oferece vagas em 88 cursos no sisu 2015 URL sisu sisumedeixaentrar|
|Mon Jan 19 17:48:13 +0000 2015|;|0|;|com a minha nota eu vou esperar o pronatec pq ta difícil kk sisu|
|Mon Jan 19 17:48:12 +0000 2015|;|0|;|to perdida nesse site do sisu|
|Mon Jan 19 17:48:10 +0000 2015|;|0|;|tô de boas aqui fazendo inscrição em algum curso no sisu só pra tirar a vaga de quem realmente precisa nota alta só pra zoar rá|
|Mon Jan 19 17:48:03 +0000 2015|;|0|;|começam as inscrições para as 205 mil vagas do sisu URL|
|Mon Jan 19 17:47:59 +0000 2015|;|27|;|rt AT_USER genti cera qui eu conçigu paça im medissina eu fis uma ecelenti redaçaum sisu|
|Mon Jan 19 17:47:57 +0000 2015|;|0|;|minha 1º opção no sisu é agronomia na ufgd e minha 2º opção é análise desenvolvimento de sistemas na ifsp|
